[00:00.00 -> 00:06.04]  yeah
[00:06.04 -> 00:33.36]  and jarvis open up gmail
[00:33.36 -> 00:35.78]  procedures story
[00:35.78 -> 00:37.00]  open up gmail
[00:37.00 -> 00:45.40]  brown destroying my food right now
[00:45.40 -> 00:49.68]  walking talkings
[00:49.68 -> 00:51.44]  back to you
[00:51.44 -> 00:53.66]  was it pushed me back to michigan
[00:53.66 -> 00:57.36]  open a new challenging others up with the cat
[00:57.36 -> 01:37.22]  specify
[01:37.22 -> 01:38.30]  yes
[01:38.30 -> 01:45.47]  navigate
[01:45.47 -> 01:47.15]  open a new tab for gmail
